FK_Verkauf_tAuftragPositionTeilmengen_kAuftragPosition;tAuftragPositionTeilmengen;kAuftragPosition;tAuftragPosition;kAuftragPosition
FK_Verkauf_tAuftragPositionTeilmengenKonfiguration_kAuftragPosition;tAuftragPositionTeilmengenKonfiguration;kAuftragPosition;tAuftragPosition;kAuftragPosition
FK_Verkauf_tAuftragPositionTeilmengenKonfiguration_kDimension;tAuftragPositionTeilmengenKonfiguration;kDimension;tDimension;kDimension
FK_Verkauf_tAuftragPositionTeilmengenKonfiguration_kMassEinheit;tAuftragPositionTeilmengenKonfiguration;kMassEinheit;tMassEinheit;kMassEinheit
FK_Verkauf_tAuftragRechnung_kAuftrag;tAuftragRechnung;kAuftrag;tAuftrag;kAuftrag
FK_Verkauf_tAuftragRechnung_kRechnung;tAuftragRechnung;kRechnung;tRechnung;kRechnung
FK_Verkauf_tAuftragScxCustomField_kAuftragScxCustomFieldGroup;tAuftragScxCustomField;kAuftragScxCustomFieldGroup;tAuftragScxCustomFieldGroup;kAuftragScxCustomFieldGroup
FK_Verkauf_tAuftragScxCustomFieldGroup_kAuftrag;tAuftragScxCustomFieldGroup;kAuftrag;tAuftrag;kAuftrag
FK_Verkauf_tAuftragScxCustomFieldValue_kAuftragScxCustomField;tAuftragScxCustomFieldValue;kAuftragScxCustomField;tAuftragScxCustomField;kAuftragScxCustomField
FK_Verkauf_tAuftragStorno_kAuftragStornogrund;tAuftragStorno;kAuftragStornogrund;tAuftragStornogrund;kAuftragStornogrund
FK_Verkauf_tAuftragText_kAuftrag;tAuftragText;kAuftrag;tAuftrag;kAuftrag
FK_Verkauf_tAuftragZahlungsinfo_kAuftrag;tAuftragZahlungsinfo;kAuftrag;tAuftrag;kAuftrag
FK_Ticketsystem_tAusgangskanalEmail_kStatus_AntwortGeschrieben;tAusgangskanalEmail;kStatus_AntwortGeschrieben;tStatus;kStatus
FK_Ticketsystem_tAusgangskanalEmailBenutzerSignatur_kAusgangskanalEmail;tAusgangskanalEmailBenutzerSignatur;kAusgangskanalEmail;tAusgangskanalEmail;kAusgangskanalEmail
FK_Ticketsystem_tAusgangskanalEmailBenutzerSignatur_kFile_HtmlInhalt;tAusgangskanalEmailBenutzerSignatur;kFile_HtmlInhalt;tFile;kFile
FK_Ticketsystem_tAusgangskanalEmailOauth_kAusgangskanalEmail;tAusgangskanalEmailOauth;kAusgangskanalEmail;tAusgangskanalEmail;kAusgangskanalEmail
FK_Ticketsystem_tAusgangskanalEmailOauth_kOauthToken;tAusgangskanalEmailOauth;kOauthToken;tOauthToken;kOauthToken
FK_SCX_tBelegUploadQueue_kAuftrag;tBelegUploadQueue;kAuftrag;tAuftrag;kAuftrag
FK_SCX_tBelegUploadQueue_kOrder;tBelegUploadQueue;kOrder;tOrder;kOrder
FK_SCX_tBelegUploadQueue_kShop;tBelegUploadQueue;kShop;tShop;kShop
FK_Amazon_tBerichtDownloadQueue_kBerichtsanfrage;tBerichtDownloadQueue;kBerichtsanfrage;tBerichtsanfrage;kBerichtsanfrage
FK_Amazon_tBerichtsanfrage_kUser;tBerichtsanfrage;kUser;pf_user;kUser
FK_Amazon_tBerichtsanfrageMarktplatz_kBerichtsanfrage;tBerichtsanfrageMarktplatz;kBerichtsanfrage;tBerichtsanfrage;kBerichtsanfrage
FK_pps_tBillOfMaterial_kArtikel;tBillOfMaterial;kArtikel;tProdItem;kArtikel
FK_pps_tBillOfMaterialComponents_tArtikel;tBillOfMaterialComponents;kArtikel;tArtikel;kArtikel
FK_pps_tBillOfMaterialComponents_kBillOfMaterial;tBillOfMaterialComponents;kBillOfMaterial;tBillOfMaterial;kBillOfMaterial
FK_pps_tBillOfMaterialComponents_kOperationStep;tBillOfMaterialComponents;kOperationStep;tOperationStep;kOperationStep
FK_pps_tBillOfMaterialComponents_tBillOfMaterialComponents;tBillOfMaterialComponents;kParentBillOfMaterialComponent;tBillOfMaterialComponents;kBillOfMaterialComponent
FK_pps_tBillOfMaterialComponents_kSubsetDefinition;tBillOfMaterialComponents;kSubsetDefinition;tDefinition;kDefinition
FK_pps_tBillOfMaterialComponentsSubsets_kBillOfMaterialComponent;tBillOfMaterialComponentsSubsets;kBillOfMaterialComponent;tBillOfMaterialComponents;kBillOfMaterialComponent
FK_pps_tBillOfMaterialComponentsSubsets_kDimension;tBillOfMaterialComponentsSubsets;kDimension;tDimension;kDimension
FK_pps_tBillOfMaterialComponentsSubsets_kMassEinheit;tBillOfMaterialComponentsSubsets;kMassEinheit;tMassEinheit;kMassEinheit
FK_SCX_tCategory_kChannel;tCategory;kChannel;tChannel;kChannel
FK_SCX_tCategoryAttribute_kCategory;tCategoryAttribute;kCategory;tCategory;kCategory
FK_SCX_tCategoryAttribute_kChannel;tCategoryAttribute;kChannel;tChannel;kChannel
FK_SCX_tCategoryAttributeConditionalMandatory_kCategoryAttribute;tCategoryAttributeConditionalMandatory;kCategoryAttribute;tCategoryAttribute;kCategoryAttribute
FK_SCX_tCategoryAttributeConditionalOptional_kCategoryAttribute;tCategoryAttributeConditionalOptional;kCategoryAttribute;tCategoryAttribute;kCategoryAttribute
FK_SCX_tCategoryAttributeValue_kCategoryAttribute;tCategoryAttributeValue;kCategoryAttribute;tCategoryAttribute;kCategoryAttribute
FK_FulfillmentNetwork_tCategoryRef_kKategorie;tCategoryRef;kKategorie;tkategorie;kKategorie
FK_SCX_tChannelAttribute_kChannel;tChannelAttribute;kChannel;tChannel;kChannel
FK_SCX_tChannelAttributeConditionalMandatory_kChannelAttribute;tChannelAttributeConditionalMandatory;kChannelAttribute;tChannelAttribute;kChannelAttribute
FK_SCX_tChannelAttributeConditionalOptional_kChannelAttribute;tChannelAttributeConditionalOptional;kChannelAttribute;tChannelAttribute;kChannelAttribute
FK_SCX_tChannelAttributeValue_kChannelAttribute;tChannelAttributeValue;kChannelAttribute;tChannelAttribute;kChannelAttribute
FK_SCX_tChannelLanguage_kChannel;tChannelLanguage;kChannel;tChannel;kChannel
FK_SCX_tChannelPriceType_kChannel;tChannelPriceType;kChannel;tChannel;kChannel
FK_SCX_tChannelPriceType_kKundenGruppe;tChannelPriceType;kKundenGruppe;tKundenGruppe;kKundenGruppe
FK_SCX_tChannelPriceType_kShop;tChannelPriceType;kShop;tShop;kShop
FK_Sync_tConnectorLogeintrag_kSyncLogsitzung;tConnectorLogeintrag;kSyncLogsitzung;tSyncLogsitzung;kSyncLogsitzung
FK_dbo_tCountryState_cCountryIso2;tCountryState;cCountryIso2;tland;cISO
FK_dbo_tCustomerQueryColumn_kCustomerQueryUser;tCustomerQueryColumn;kCustomerQueryUser;tCustomerQueryUser;kCustomerQueryUser
FK_dbo_tCustomerQueryOverviewColumn_kCustomerQueryOverview;tCustomerQueryOverviewColumn;kCustomerQueryOverview;tCustomerQueryOverview;kCustomerQueryOverview
FK_dbo_tCustomerQueryOverviewRecht_kCustomerQueryOverview;tCustomerQueryOverviewRecht;kCustomerQueryOverview;tCustomerQueryOverview;kCustomerQueryOverview
FK_dbo_tCustomerQueryRecht_kCustomerQuery;tCustomerQueryRecht;kCustomerQuery;tCustomerQuery;kCustomerQuery
FK_Sync_tDbeSLogeintrag_kSyncLogsitzung;tDbeSLogeintrag;kSyncLogsitzung;tSyncLogsitzung;kSyncLogsitzung
FK_subset_tDefinitionSprache_kDefinition;tDefinitionSprache;kDefinition;tDefinition;kDefinition
FK_FulfillmentNetwork_tDeliveryQueue_kFulfillmentAuftrag;tDeliveryQueue;kFulfillmentAuftrag;tFulfillmentAuftrag;kFulfillmentAuftrag
FK_tDHLEKP_tShipperAccount;tDHLEKP;kShipperAccount;tShipperAccount;kShipperAccount
FK_subset_tDimension_kDimension;tDimension;kDefinition;tDefinition;kDefinition
FK_subset_tDimensionSprache_kDimension;tDimensionSprache;kDimension;tDimension;kDimension
FK_Blockly_tDirectory_kParentDirectory;tDirectory;kParentDirectory;tDirectory;kDirectory
FK_pps_tDisposition_kArtikel;tDisposition;kArtikel;tProdItem;kArtikel
FK_Ebay_tEbayAbgleichLogeintrag_kEbayAbgleichLogsitzung;tEbayAbgleichLogeintrag;kEbayAbgleichLogsitzung;tEbayAbgleichLogsitzung;kEbayAbgleichLogsitzung
FK_Ebay_tEbayItemProductCompliance_kItem;tEbayItemProductCompliance;kItem;ebay_item;kItem
